objectname,rating,numplays,objectid,itemtype,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Amun-Re: 20th Anniversary Edition,0,,354568,standalone,0,0,0,0,0,0,0,0,1,3,,,,,,93124706,0,7.05556,0,0,52,thing,Amun-Re: 20th Anniversary Edition,2,5,90,90,90,2023,,,,,,,,,,,,,,,,,,,,,,,,
Andor: The Family Fantasy Game,8.8,3,295488,standalone,0,1,0,0,0,0,0,0,0,1,,"Got it for the kids for their 8th birthday. It's quite a good design with lots of choices and plenty of flexibility for the players. I like the action mechanics with the sun tokens to track them, and the ability to do more if you want to. We've had success getting the kids to play it, if not always lasting through a whole game. But they certainly get what's going on and are able to fully participate.",,,,89798929,6.02913,7.39939,1.9032,2492,1869,thing,Andor: The Family Fantasy Game,2,4,45,45,30,2020,"2,3,4",4,5+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Android: Infiltration,0,,118063,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,96978282,6.16363,6.52066,2.0979,1969,5053,thing,Android: Infiltration,2,6,45,45,30,2012,"3,4,5,6",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Android: Netrunner,7.5,6,124742,standalone,0,1,0,0,0,0,0,0,0,3,,"I'll admit that I don't fully get it. I want to, and I'd like to have a player base to enjoy the game with. Unfortunately I don't.",,,,24032970,7.66219,7.87525,3.3969,66,43716,thing,Android: Netrunner,2,2,45,45,45,2012,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Android: Netrunner – Creation and Control,0,,139596,expansion,0,1,0,0,0,0,0,0,0,1,,,,,,38862576,6.43299,8.20029,3.22,0,6500,thing,Android: Netrunner – Creation and Control,2,2,45,45,45,2013,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Android: Netrunner – Cyber Exodus,0,,133500,expansion,0,1,0,0,0,0,0,0,0,1,,,,,,38862972,6.30856,8.14073,3.3056,0,5993,thing,Android: Netrunner – Cyber Exodus,2,2,45,45,45,2013,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Android: Netrunner – Future Proof,0,,137863,expansion,0,1,0,0,0,0,0,0,0,1,,,,,,38862981,6.20088,8.16951,3.3793,0,5254,thing,Android: Netrunner – Future Proof,2,2,45,45,45,2013,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Android: Netrunner – Humanity's Shadow,0,,136147,expansion,0,1,0,0,0,0,0,0,0,1,,,,,,38862967,6.20127,8.13849,3.2581,0,5242,thing,Android: Netrunner – Humanity's Shadow,2,2,45,45,45,2013,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Android: Netrunner – Opening Moves,0,,142727,expansion,0,1,0,0,0,0,0,0,0,1,,,,,,38862985,6.10203,8.19844,3.4167,0,4367,thing,Android: Netrunner – Opening Moves,2,2,45,45,45,2013,,,,Unplayable in another language,,,,,,,,,,,,,,,,,,,,
Android: Netrunner – True Colors,0,,146243,expansion,0,1,0,0,0,0,0,0,0,1,,,,,,38862993,5.97437,8.1395,3.5,0,3832,thing,Android: Netrunner – True Colors,2,2,45,45,45,2013,,,,,,,,,,,,,,,,,,,,,,,,
Android: Netrunner – What Lies Ahead,0,,130806,expansion,0,1,0,0,0,0,0,0,0,1,,,,,,38862970,6.4058,8.09986,3.4,0,6849,thing,Android: Netrunner – What Lies Ahead,2,2,45,45,45,2012,2,2,14+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Ankh: Gods of Egypt,0,,285967,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,96618908,7.22586,7.91334,3.0798,246,10476,thing,Ankh: Gods of Egypt,2,5,90,90,90,2021,"2,3,4,5","2,4",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Apples to Apples,6,,74,standalone,0,1,0,0,0,0,0,0,0,3,,Solid party game - one of the few I'll play. Though it was more fun when it first came out (when I was in college).,,,,14779672,5.66655,5.77778,1.1575,5764,27406,thing,Apples to Apples,4,10,30,30,30,1999,"4,5,6,7,8,9,10","6,7,8",8+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Ascending Empires,0,,37919,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,14685562,6.39072,7.18862,2.3506,1319,1842,thing,Ascending Empires,2,4,75,75,75,2011,"2,3,4",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Ascension: Deckbuilding Game,7.75,72,69789,standalone,0,1,0,0,0,0,0,0,0,3,,"Initially learned the Dreamscape version, but got hooked anyway. We have been enjoying the base game (3rd ed.) plus Return of the Fallen regularly for a while now. I much prefer to teach this deck-building game to a new player rather than Dominion or Thunderstone. I appreciate that the turn structure is super minimal. And I also like that there is very little setup. Shuffle the big pile and go! I think that its minimal setup will help it outlast Thunderstone and even Dominion in my book.",,,,33242196,6.78387,7.03469,2.1431,647,13808,thing,Ascension: Deckbuilding Game,1,4,30,30,30,2010,"2,3,4",2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Ascension: Return of the Fallen,6.5,,95064,standalone,0,1,0,0,0,0,0,0,0,3,,"Pretty good expansion. Builds on the themes in the original set and expands the options pretty well. I'm not wild about all of the cards, nor about the weird art differences. But I'm still happy to have it in the mix. ",,,,33242205,6.6132,7.28427,2.1583,907,5272,thing,Ascension: Return of the Fallen,1,2,30,30,30,2011,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Assault of the Giants,0,,201455,standalone,0,0,0,0,0,0,0,0,1,4,,,,,,41830367,5.76152,6.72145,3.4231,4373,1728,thing,Assault of the Giants,3,6,150,150,60,2017,"3,4,5,6","4,5",12+,,,,,,,,,,,,,,,,,,,,,
Axis & Allies 1941,6,1,123185,standalone,0,1,0,0,0,0,0,0,0,3,,"Picked it up at WalMart. Hoping to play it some more. Not super impressed by the combat mechanics, but they're better than Risk...",,,,18616478,5.75269,6.36265,2.7273,4470,3541,thing,Axis & Allies 1941,2,5,180,180,60,2012,"2,3,4,5",2,12+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Azul,8.6,11,230802,standalone,0,1,0,0,0,0,0,0,0,3,,"Picked it up at Target. Beautiful deign and pretty interesting mechanically. The drafting has some nuance, and the strategy for placing tiles is interesting too.",,,,90842147,7.66751,7.78043,1.7612,65,107796,thing,Azul,2,4,45,45,30,2017,"2,3,4",2,8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Back to the Future: An Adventure Through Time,0,,184460,standalone,0,0,0,0,0,0,0,0,1,3,,,,,,33736532,5.51622,5.71936,2.3333,15863,728,thing,Back to the Future: An Adventure Through Time,2,4,30,30,30,2016,"2,3,4",3,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Bananagrams,4,,27225,standalone,0,1,0,0,0,0,0,0,0,3,,Useful for killing time in airports or restaurants.,,,,14779680,6.18693,6.37059,1.3163,1882,20221,thing,Bananagrams,1,8,15,15,15,2006,"2,3,4,5,6","3,4,5",10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Bandido,5,4,191925,standalone,0,1,0,0,0,0,0,0,0,3,,A fairly cute little puzzle type game that makes you think. Got old fairly quickly though.,,,,56913612,6.10258,6.46151,1.1261,2180,6965,thing,Bandido,1,4,15,15,10,2016,"1,2,3,4",2,6+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Batman: Gotham City Strategy Game,0,,130911,standalone,0,0,0,1,0,1,0,0,1,3,,,,,,19232169,5.65664,6.04945,2.3261,5953,1458,thing,Batman: Gotham City Strategy Game,2,4,90,90,60,2013,"3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Battle Masters,6,,700,standalone,0,1,0,0,0,0,0,0,0,3,,"Super cool giant plastic mat, tower, and troops. Probably more fun to assemble and set up than to actually play. The games can drag on, especially when one side is clearly losing but is still hanging on. ",,,,9860564,5.87796,6.30781,1.8708,3340,4279,thing,Battle Masters,2,2,60,60,60,1992,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
The Battle of Five Armies,0,,135219,standalone,0,1,0,0,0,1,0,0,0,3,,,,,,29630886,6.84906,7.88248,3.5874,575,6005,thing,The Battle of Five Armies,2,2,240,240,90,2014,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
BattleLore,0,,25417,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,18496255,6.98849,7.358,2.7657,422,11010,thing,BattleLore,2,2,60,60,60,2006,2,2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Battleship,4,5,2425,standalone,0,1,0,0,0,0,0,0,0,3,,Tommy got this for Christmas 2019,,,,67326725,4.73296,4.67828,1.2172,22922,15363,thing,Battleship,2,2,30,30,30,2018,2,2,6+,No necessary in-game text,,,,,,,,,,,,,,,,,Hasbro,English,2018,Hasbro Amazon-exclusive edition
Battleship Galaxies,0,,93538,standalone,0,1,0,0,0,1,0,0,0,3,,,,,,44017667,5.91224,6.55605,2.3838,3137,2636,thing,Battleship Galaxies,2,4,70,70,70,2011,"2,4",2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Beyond the Sun,0,,317985,standalone,0,0,0,0,0,1,0,0,0,4,,,,,,91361210,7.53535,7.99927,3.0893,97,11000,thing,Beyond the Sun,2,4,120,120,60,2020,"2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
BioShock Infinite: The Siege of Columbia,0,,132428,standalone,0,0,0,0,0,0,1,0,0,1,,,,,,44017677,5.92735,6.69948,2.9,3027,3143,thing,BioShock Infinite: The Siege of Columbia,2,4,90,90,60,2013,"2,4",2,14+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Blitzkrieg!: World War Two in 20 Minutes,0,,347521,standalone,0,0,0,0,0,0,0,0,0,2,,,,,,91360894,5.69388,7.74742,1.8,0,436,thing,Blitzkrieg!: World War Two in 20 Minutes,1,2,45,45,20,2021,"1,2",2,16+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Blitzkrieg!: World War Two in 20 Minutes,9,4,258210,standalone,0,1,0,0,0,0,0,0,0,3,,Bought from Game Nerdz,,,,93703576,6.94802,7.65651,1.8632,466,6407,thing,Blitzkrieg!: World War Two in 20 Minutes,1,2,45,45,20,2019,"1,2",2,12+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Blokus,6,,2453,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,92818293,6.73043,6.86497,1.7607,721,34484,thing,Blokus,2,4,20,20,20,2000,"2,4",4,6+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Blood Bowl (2016 Edition),6.5,1,212445,standalone,0,1,0,0,0,1,0,0,0,3,,I got a copy and painted up all the minis which was a lot of fun. I think I would like it more if I played it more.,,,,45942070,6.86664,8.00799,3.5208,560,5040,thing,Blood Bowl (2016 Edition),2,2,120,120,45,2016,2,2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Blood Rage,0,,170216,standalone,0,0,0,0,0,1,0,0,0,1,,,,,,97097553,7.7982,7.9709,2.8804,40,48533,thing,Blood Rage,2,4,90,90,60,2015,"3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Blue Moon Legends,0,,147154,standalone,0,0,0,0,0,0,0,0,1,4,,,,,,92336760,6.41204,7.27823,2.2821,0,4037,thing,Blue Moon Legends,2,2,30,30,30,2014,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Buffy the Vampire Slayer: The Game,7,1,805,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,15661514,6.00615,6.61491,2.0065,2606,3001,thing,Buffy the Vampire Slayer: The Game,2,5,90,90,90,2000,"2,3,4,5",5,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Bunco,3.5,,8689,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,96848028,5.14244,3.10239,1.0857,22891,765,thing,Bunco,2,12,45,45,45,1855,,2,4+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Cadwallon: City of Thieves,5,2,69120,standalone,0,0,0,0,0,0,1,0,0,3,,"Not overly impressed with this one after an introductory play or two, but I think with the right crowd it could be interesting. I think in my collection it falls into a crack between the mass-appeal games like 7 Wonders and the more niche games like LotR LCG and Chaos in the Old World. So it's not really in the wheelhouse of any of the groups of people I play with.",,,,19708586,5.83382,6.2698,2.3243,3690,3056,thing,Cadwallon: City of Thieves,2,4,45,45,45,2010,"3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Cadwallon: City of Thieves – The King of Ashes,0,,124486,expansion,0,0,0,0,0,0,1,0,0,3,,,,,,19708585,5.6252,7.07732,2.3333,0,896,thing,Cadwallon: City of Thieves – The King of Ashes,2,4,60,60,60,2012,"3,4",4,,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Caesar!: Seize Rome in 20 Minutes!,0,,338957,standalone,0,0,0,0,0,1,0,0,1,3,,,,,,93888032,6.17691,7.75229,1.8846,1924,1766,thing,Caesar!: Seize Rome in 20 Minutes!,1,2,20,20,20,2022,"1,2","1,2",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Canasta Caliente,5,,1445,standalone,0,1,0,0,0,0,0,0,0,3,,"My wife and I used to play and like this. Then we learned the superior ""Hand and Foot"" and left Canasta behind.",,,,14779709,5.73721,6.32511,1.7188,4674,2263,thing,Canasta Caliente,2,6,60,60,60,2000,"2,3,4",4,10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Candy Land,3,,5048,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,96847981,3.81512,3.19998,1.0964,22939,6598,thing,Candy Land,2,4,30,30,30,1949,"2,3,4",4,3–6,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Caper: Europe,0,1,328565,standalone,0,1,0,0,0,0,0,0,0,2,,,,,,91361134,6.53663,8.02518,2.2258,1046,3519,thing,Caper: Europe,2,2,35,35,25,2022,2,2,12+,,,,,,,,,,,,,,,,,,,,,
Carcassonne Big Box,7,39,822,standalone,0,1,0,0,0,0,0,0,0,3,,"Carcassonne was one of the early games that got me back into board games, especially Euros and strategy games. This Big Box was a natural purchase after we had exhausted the basic game. Actually thought, only Traders and Builders has really stood up for us. The Dragon one is no fun (we don't like the slower, lower scoring game) and the others seem too fiddly. Still a great one to have on the shelf though.",,,,9903418,7.30485,7.41516,1.9023,198,169795,thing,Carcassonne,2,5,45,45,30,2000,"2,3,4,5",2,8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Castle Keep,3.5,,17855,standalone,0,0,0,0,0,0,1,0,0,3,,"Ordered this from Amazon at a time where anything with a good review made it into a Prime shipment to my house. (circa 2008). Was pretty let down by the tic-tac-toe nature of the game, but not that surprised.",,,,19639675,5.52603,5.62583,1.2125,14022,1605,thing,Castle Keep,1,4,20,20,20,2005,"2,3,4","3,4",6+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
CATAN,4,,13,standalone,0,0,0,0,0,0,0,0,0,3,,"The original hobby game! Played it and enjoyed it quite a bit, with multiple different groups, but the shine wore off. Probably a case of burnout, at least partially but also the die roll to see what you get can be really frustrating, and I'm not a fan of the negotiation stuff. Never tried any of the expansions or alternate themed ones. Gave it up in favor of better stuff and never felt the need to own it.",,,,11084455,6.9522,7.12083,2.3073,461,177995,thing,CATAN,3,4,120,120,60,1995,"3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Catan Dice Game,0,,27710,standalone,0,1,0,0,0,0,0,0,0,1,,I think we technically did play this at some point but no one was overly thrilled by it. Gave it away at some point.,,,,44316375,5.62004,5.69601,1.2354,6903,13986,thing,Catan Dice Game,1,4,15,15,15,2007,"1,2,3",2,8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Caylus,0,,18602,standalone,0,0,0,0,0,1,0,0,0,1,,,,,,15611780,7.55823,7.74212,3.801,89,27762,thing,Caylus,2,5,150,150,60,2005,"2,3,4,5",3,12+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Chaos in the Old World,9,3,43111,standalone,0,1,0,0,0,1,0,0,0,3,,Excellent game. Gets extra marks because of the awesome design and production. We usually spend more time talking about strategy and re-hashing games than we do playing the actual games. That tells me this game has depth!,,,,19377623,7.39302,7.67144,3.1956,154,15451,thing,Chaos in the Old World,3,4,120,120,60,2011,"3,4",4,14+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,Fantasy Flight Games,English,2011,Fantasy Flight English edition
Chaos in the Old World: The Horned Rat Expansion,0,,95619,expansion,0,1,0,0,0,1,0,0,0,3,,,,,,19377629,6.94486,8.04277,3.2544,0,6085,thing,Chaos in the Old World: The Horned Rat Expansion,3,5,90,90,90,2011,"4,5",5,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,Fantasy Flight Games,English,2011,English edition
Checkers,7,2,2083,standalone,0,1,0,0,0,0,0,0,0,3,,"The kids were quite into this for a while between 6-7. They hadn't really learned any ""modern"" games yet.",,,,49740225,4.96116,4.89604,1.7438,22912,9809,thing,Checkers,2,2,30,30,30,1150,2,2,6+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Chinese Checkers,3,,2386,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,96848031,5.20229,5.15374,1.6104,22880,5973,thing,Chinese Checkers,2,6,30,30,30,1893,"2,3,4,6","4,6",6+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
